index,loss,categorical_accuracy,val_loss,val_categorical_accuracy,model
0,0.6302650570869446,0.695555567741394,0.6282404065132141,0.699999988079071,C11D11
1,0.6257122159004211,0.698888897895813,0.634696364402771,0.6850000023841858,C11D11
2,0.6218239068984985,0.7061111330986023,0.6320021152496338,0.6650000214576721,C11D11
3,0.6152869462966919,0.7027778029441833,0.6174308061599731,0.699999988079071,C11D11
4,0.6125268936157227,0.7133333086967468,0.6136727929115295,0.7200000286102295,C11D11
5,0.6119253039360046,0.7099999785423279,0.6287752389907837,0.6850000023841858,C11D11
6,0.6015850305557251,0.727222204208374,0.6078041195869446,0.7200000286102295,C11D11
7,0.5980209112167358,0.7294444441795349,0.6270421147346497,0.6800000071525574,C11D11
8,0.5946122407913208,0.7188888788223267,0.599330723285675,0.7099999785423279,C11D11
9,0.586056113243103,0.7388888597488403,0.5900596976280212,0.7250000238418579,C11D11
10,0.5828647613525391,0.7294444441795349,0.5801991820335388,0.7300000190734863,C11D11
11,0.5731727480888367,0.7416666746139526,0.5642421841621399,0.7599999904632568,C11D11
12,0.5668420791625977,0.7488889098167419,0.5626682639122009,0.7350000143051147,C11D11
13,0.5661338567733765,0.7438889145851135,0.5563732981681824,0.7599999904632568,C11D11
14,0.5543568730354309,0.7622222304344177,0.5685365200042725,0.7250000238418579,C11D11
15,0.5600466728210449,0.746666669845581,0.5577583909034729,0.7300000190734863,C11D11
16,0.5528380274772644,0.7549999952316284,0.5498030185699463,0.7350000143051147,C11D11
17,0.5487375259399414,0.7644444704055786,0.5563471913337708,0.7250000238418579,C11D11
18,0.5450809597969055,0.7611111402511597,0.5419687032699585,0.7599999904632568,C11D11
19,0.5394632816314697,0.7688888907432556,0.539351224899292,0.7450000047683716,C11D11
