index,loss,categorical_accuracy,val_loss,val_categorical_accuracy,model
0,0.42572373151779175,0.8866890668869019,0.4231800138950348,0.8888943791389465,Lipstick_Dropout
1,0.42405250668525696,0.8884330987930298,0.4118403494358063,0.9001480937004089,Lipstick_Dropout
2,0.4231123626232147,0.8894915580749512,0.40976253151893616,0.901332676410675,Lipstick_Dropout
3,0.4222601354122162,0.890242874622345,0.4105578064918518,0.9008884429931641,Lipstick_Dropout
4,0.4219677746295929,0.8905171155929565,0.40865790843963623,0.903158962726593,Lipstick_Dropout
5,0.4202859699726105,0.892118513584137,0.41837581992149353,0.8928924202919006,Lipstick_Dropout
6,0.4198392927646637,0.8925133943557739,0.416374146938324,0.8952122330665588,Lipstick_Dropout
7,0.419174462556839,0.8936212062835693,0.40928593277931213,0.902270495891571,Lipstick_Dropout
8,0.4184747338294983,0.8940160870552063,0.41327112913131714,0.8990622162818909,Lipstick_Dropout
9,0.41832709312438965,0.8939722180366516,0.4078299105167389,0.9038993120193481,Lipstick_Dropout
10,0.41702744364738464,0.8954145908355713,0.4323175251483917,0.8794669508934021,Lipstick_Dropout
11,0.416940301656723,0.8954474925994873,0.4311026334762573,0.8806021809577942,Lipstick_Dropout
12,0.41616323590278625,0.8963578939437866,0.4097532033920288,0.9023692011833191,Lipstick_Dropout
13,0.41601285338401794,0.8964895009994507,0.42629286646842957,0.8856367468833923,Lipstick_Dropout
14,0.4152781367301941,0.8971804976463318,0.40751537680625916,0.9041954874992371,Lipstick_Dropout
15,0.4148541986942291,0.8975808620452881,0.40521010756492615,0.9064659476280212,Lipstick_Dropout
16,0.4137079119682312,0.8987764716148376,0.40873628854751587,0.9030108451843262,Lipstick_Dropout
17,0.41380932927131653,0.8985077142715454,0.4073702394962311,0.9044422507286072,Lipstick_Dropout
18,0.4137795567512512,0.8986502885818481,0.4127786457538605,0.898963451385498,Lipstick_Dropout
19,0.4121682643890381,0.9004272222518921,0.4203324615955353,0.8919546008110046,Lipstick_Dropout
