index,loss,categorical_accuracy,val_loss,val_categorical_accuracy,model
0,0.6693335175514221,0.5809124708175659,0.5010935664176941,0.8188548684120178,C31D22
1,0.48256048560142517,0.8333324193954468,0.4533177614212036,0.8579466938972473,C31D22
2,0.4458608329296112,0.8672417998313904,0.4257736802101135,0.8864264488220215,C31D22
3,0.43511873483657837,0.8774644732475281,0.4155188202857971,0.8968410491943359,C31D22
4,0.43129727244377136,0.8814187049865723,0.4162469506263733,0.8963474631309509,C31D22
5,0.42589429020881653,0.8865245580673218,0.4109272360801697,0.9015794396400452,C31D22
6,0.42202818393707275,0.8904567956924438,0.41088294982910156,0.9015300869941711,C31D22
7,0.41748127341270447,0.8946796655654907,0.4055663049221039,0.9070088863372803,C31D22
8,0.41482439637184143,0.8973889350891113,0.4335081875324249,0.878381073474884,C31D22
9,0.4119568467140198,0.9000268578529358,0.4039868414402008,0.9078973531723022,C31D22
10,0.40895745158195496,0.9030706286430359,0.39936205744743347,0.9121421575546265,C31D22
11,0.4075987637042999,0.9042333364486694,0.4005432426929474,0.9101678133010864,C31D22
12,0.4065411686897278,0.9053411483764648,0.40012943744659424,0.9108588099479675,C31D22
13,0.40457677841186523,0.9072990417480469,0.40045666694641113,0.9100691080093384,C31D22
14,0.403582364320755,0.9081271886825562,0.3945367932319641,0.9160908460617065,C31D22
15,0.401714563369751,0.9098601937294006,0.4016721248626709,0.9083909392356873,C31D22
16,0.40121957659721375,0.9102276563644409,0.40000689029693604,0.9102171659469604,C31D22
17,0.3999232351779938,0.9120868444442749,0.39571887254714966,0.9152517318725586,C31D22
18,0.39974159002304077,0.9119991064071655,0.3928467333316803,0.9189535975456238,C31D22
19,0.39902186393737793,0.912794291973114,0.39537447690963745,0.9164856672286987,C31D22
